ITE_ITEM_TITLE_1,ITE_ITEM_TITLE_2,Score Similitud
Bicicleta Nathor Aro 12 Infantil Cores Masculina Feminina ,Bicicleta Aro 12 Feminina Infantil Nathor Violet Promoção,0.6846830818842968
Tênis Usthemp Short Temático - Maria Vira-lata 2,Tênis Usthemp Short Temático - Borboleta 2,0.6451176060974572
Tênis All Star Converse Cor Branco Cano Baixo - 379,Tenis Feminino Star Rosa Cano Baixo Converse 1,0.6130190421818416
Tenis Fila Euro Jogger Sport Masculino Tamanhos Grandes ,Tênis Fila Euro Jogger Marinho E Branco Masculino Original,0.5786214504082146
Tênis Feminino Casual Flatform Beira Rio 4242.103,Tênis Feminino Casual Beira Rio - 4205123,0.5313579269151578
Tênis Feminino Beira Rio Esportivo Sem Cadarço Confortável ,Tênis Feminino Casual Beira Rio - 4205123,0.528264686283934
Tênis Leve Fila Racer Motion Academia Caminhada,Tênis De Academia Masculino Para Caminhada Leve Confortável,0.5266897775844236
Tenis Feminino De Fazer Caminhada Corrida Academia Barato,Tênis Fila Masculino Preto Corrida Caminhada Academia ,0.4972287194729453
Tênis Fila Masculino Preto Corrida Caminhada Academia ,Tênis Academia Corrida E Caminhada Lotto Quest,0.49231008489241457
Tênis Napa Branco Meninario,Tênis Modare Napa Branco - Original + Nf ,0.47090434113493446
Tênis Fila Masculino Preto Corrida Caminhada Academia ,Tênis Leve Fila Racer Motion Academia Caminhada,0.45518847400137563
Sapatilha Bike Absolute Nero Mtb Para Pedal Clip Com Tacos,Sapatilha Com Pedal,0.45170482494391084
Tenis Feminino De Fazer Caminhada Corrida Academia Barato,Tênis Academia Corrida E Caminhada Lotto Quest,0.4501670371271792
Tênis Masculino Olympikus Absolute Esportivo Slipon Original,Tênis Esportivo Olympikus Antiderrapante Original Com Nf,0.4430723461700316
Tênis Fila Masculino Preto Corrida Caminhada Academia ,Tênis De Academia Masculino Para Caminhada Leve Confortável,0.44048579562684576
Bicicleta Masculina Com Aro 24 Com Nf ,Bicicleta Nathor Aro 12 Infantil Cores Masculina Feminina ,0.4332878935069199
Tênis Feminino Beira Rio Esportivo Sem Cadarço Confortável ,Tênis Feminino Casual Flatform Beira Rio 4242.103,0.4199407044297513
Sapatenis Casual Combo 3 Pares Infantil Dex,Kit 2 Pares Tênis Casual Sapatenis Feminino Clássico,0.4153856456517749
Nike Air Max 2013,Air Max 720 42br Iridescent,0.4130753754606841
Tenis Feminino De Fazer Caminhada Corrida Academia Barato,Tênis Feminino Actvitta Corrida Caminhada 4806416,0.40828024682031877
Tênis Super Star Caminhada Estilo Casual Marinho Unissex +nf,Tênis Feminino Casual Estilo Star Em Jeans Vermelho,0.4048777992413675
Tênis Esportivo Masculino Olimpak Pronta Entrega Na Caixa,Tênis Infantil Masculino Feminino Liso A Pronta Entrega 12x,0.4023536689236744
Combo 2 Tênis Vivet Feminino Original A Pronta Entrega,Tênis Infantil Masculino Feminino Liso A Pronta Entrega 12x,0.400976692628827
Bicicleta Sonic Aro 12 - 4 Itens,Bicicleta Nathor Aro 12 Infantil Cores Masculina Feminina ,0.3996045188879811
Tênis 02 Pares Sapatênis Sapatilha Casual Feminino Srt/414,Kit 2 Pares Tênis Casual Sapatenis Feminino Clássico,0.399591810196201
Bicicleta Sonic Aro 12 - 4 Itens,Bicicleta Aro 12 Feminina Infantil Nathor Violet Promoção,0.39780429868918143
Tenis Infantil Preto Molekinho/ Dia Das Crianças,Tênis Infantil Masculino Molekinho Esportivo 2831.113 Preto,0.39037493510059124
Tênis Fila Masculino Preto Corrida Caminhada Academia ,Tênis Feminino Actvitta Corrida Caminhada 4806416,0.3881210235357914
Sapatilha Bike Absolute Nero Mtb Para Pedal Clip Com Tacos,Sapatilha Mtb Bike Shiver Preta / Cinza,0.3741478512841481
Tênis Feminino Caminhada Original Mikelly Confortável Azul,Tênis De Academia Masculino Para Caminhada Leve Confortável,0.37015508051274393
Tênis Masculino Esportivo Actvitta 4907.101,Tênis Actvitta Esportivo Masculino 4908.204 Preto/azul,0.3680550871734073
Tenis Infantil Preto Molekinho/ Dia Das Crianças,Tênis Infantil Menino Molekinho 2821104 Azul Preto Laranja,0.3676949997253442
Tênis Antiviral Piccadilly Slip-on Sem Cadarço Napa Branco,Tênis Napa Branco Meninario,0.3664308934813469
Tênis Esportivo Olympikus Antiderrapante Original Com Nf,Tênis Modare Napa Branco - Original + Nf ,0.36328484602179373
